collection,DeliveryTargetName,TermsOfUse,Usage,Usergroup,role,comment,withdraw_comment,overrideUser
Marketing Customer Data,Snowflake,ANY,Marketing,ANY,NSEN Marketing Data,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",Access withdrawn,DEMOCONSUMER
Marketing Customer Data,Snowflake,ANY,Analytics,ANY,NSEN Marketing Data (Secure),"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data (Secure)"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",Access withdrawn,DEMOCONSUMER
Marketing Customer Data,Snowflake,ANY,Operation,ANY,NSEN Marketing Data,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",Access withdrawn,DEMOCONSUMER
Marketing Customer Data,Snowflake,ANY,Regulatory Reporting,ANY,NSEN Marketing Data,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",Access withdrawn,DEMOCONSUMER
